t,x,y,status,evt,evt-test
1,0,0,True,0,1
2,0,0,True,0,1
3,0,0,True,0,1
4,0,0,True,1,1
5,0,0,True,1,0
6,0,0,True,1,0
7,0,0,True,1,0
8,0,0,True,1,0
9,0,0,True,1,0
10,0,0,True,1,0
11,0,0,True,1,0
12,0,0,True,1,0
13,0,0,True,255,255
14,0,0,True,255,255
15,0,0,True,1,1
16,0,0,True,1,1
17,0,0,True,1,1
18,0,0,True,1,1
19,0,0,True,1,1
20,0,0,True,1,1
21,0,0,True,2,1
22,0,0,True,2,2
23,0,0,True,2,2
24,0,0,True,2,2
25,0,0,True,1,2
26,0,0,True,1,3
27,0,0,True,1,3
28,0,0,True,1,1
29,0,0,True,1,1
30,0,0,True,1,1
31,0,0,True,1,1
32,0,0,True,1,1
