t,x,y,status,evt,evt-test
1,0,0,True,0,0
2,0,0,True,0,0
3,0,0,True,3,0
4,0,0,True,3,0
5,0,0,True,3,0
6,0,0,True,3,0
7,0,0,True,3,0
8,0,0,True,3,0
9,0,0,True,3,3
10,0,0,True,3,0
11,0,0,True,3,0
12,0,0,True,3,0
13,0,0,True,3,0
14,0,0,True,0,4
15,0,0,True,0,4
16,0,0,True,5,5
17,0,0,True,0,4
18,0,0,True,0,4
19,0,0,True,5,5
20,0,0,True,5,5
21,0,0,True,0,3
22,0,0,True,0,3
23,0,0,True,0,3
24,0,0,True,0,3
25,0,0,True,0,2
26,0,0,True,0,1
27,0,0,True,0,1
28,0,0,True,0,1
29,0,0,True,0,1
30,0,0,True,0,1
31,0,0,True,2,2
32,0,0,True,2,2
33,0,0,True,2,2
34,0,0,True,2,2
35,0,0,True,2,2
36,0,0,True,2,2
37,0,0,True,2,2
38,0,0,True,2,2
39,0,0,True,2,2
40,0,0,True,2,2
41,0,0,True,2,2
42,0,0,True,2,2
43,0,0,True,2,2
44,0,0,True,2,2
45,0,0,True,2,2
46,0,0,True,0,1
47,0,0,True,0,1
48,0,0,True,0,1
49,0,0,True,0,0
50,0,0,True,0,0
51,0,0,True,4,4
52,0,0,True,4,4
53,0,0,True,4,4
54,0,0,True,4,4
55,0,0,True,4,4
56,0,0,True,4,4
57,0,0,True,0,0
58,0,0,True,0,0
59,0,0,True,0,1
60,0,0,True,0,0
61,0,0,True,0,5
62,0,0,True,4,5
63,0,0,True,4,5
64,0,0,True,4,0
65,0,0,True,4,0
66,0,0,True,0,0
67,0,0,True,0,0
68,0,0,True,5,5
69,0,0,True,0,2
70,0,0,True,0,2
71,0,0,True,0,2
72,0,0,True,0,2
73,0,0,True,5,5
74,0,0,True,5,5
75,0,0,True,0,0
76,0,0,True,0,1
77,0,0,True,1,1
78,0,0,True,1,1
79,0,0,True,1,1
80,0,0,True,1,1
81,0,0,True,1,1
82,0,0,True,1,0
83,0,0,True,1,1
84,0,0,True,1,1
85,0,0,True,1,1
86,0,0,True,1,1
87,0,0,True,1,1
88,0,0,True,1,2
89,0,0,True,1,2
90,0,0,True,1,1
91,0,0,True,1,1
92,0,0,True,1,1
93,0,0,True,1,1
94,0,0,True,1,1
95,0,0,True,1,1
96,0,0,True,1,0
97,0,0,True,0,0
98,0,0,True,0,0
99,0,0,True,5,5
100,0,0,True,0,0
101,0,0,True,0,0
102,0,0,True,0,2
103,0,0,True,0,2
104,0,0,True,0,0
105,0,0,True,5,4
106,0,0,True,0,0
107,0,0,True,0,0
