t,x,y,status,evt,evt-test
1,0,0,True,0,0
2,0,0,True,0,0
3,0,0,True,3,0
4,0,0,True,3,0
5,0,0,True,3,0
6,0,0,True,3,0
7,0,0,True,3,0
8,0,0,True,3,3
9,0,0,True,3,3
10,0,0,True,3,0
11,0,0,True,3,0
12,0,0,True,3,0
13,0,0,True,3,0
14,0,0,True,0,0
15,0,0,True,0,0
16,0,0,True,5,0
17,0,0,True,0,0
18,0,0,True,0,0
19,0,0,True,5,5
20,0,0,True,5,5
21,0,0,True,0,5
22,0,0,True,0,5
23,0,0,True,0,0
24,0,0,True,0,0
25,0,0,True,0,0
26,0,0,True,0,0
27,0,0,True,0,0
28,0,0,True,0,0
29,0,0,True,0,0
30,0,0,True,0,0
31,0,0,True,2,2
32,0,0,True,2,0
33,0,0,True,2,2
34,0,0,True,2,2
35,0,0,True,2,0
36,0,0,True,2,0
37,0,0,True,2,0
38,0,0,True,2,2
39,0,0,True,2,0
40,0,0,True,2,2
41,0,0,True,2,0
42,0,0,True,2,2
43,0,0,True,2,0
44,0,0,True,2,2
45,0,0,True,2,2
46,0,0,True,0,2
47,0,0,True,0,2
48,0,0,True,0,0
49,0,0,True,0,0
50,0,0,True,0,0
51,0,0,True,4,0
52,0,0,True,4,4
53,0,0,True,4,4
54,0,0,True,4,3
55,0,0,True,4,3
56,0,0,True,4,4
57,0,0,True,0,0
58,0,0,True,0,0
59,0,0,True,0,0
60,0,0,True,0,0
61,0,0,True,0,0
62,0,0,True,4,4
63,0,0,True,4,4
64,0,0,True,4,0
65,0,0,True,4,0
66,0,0,True,0,0
67,0,0,True,0,5
68,0,0,True,5,5
69,0,0,True,0,5
70,0,0,True,0,5
71,0,0,True,0,5
72,0,0,True,0,5
73,0,0,True,5,5
74,0,0,True,5,5
75,0,0,True,0,5
76,0,0,True,0,0
77,0,0,True,1,1
78,0,0,True,1,1
79,0,0,True,1,1
80,0,0,True,1,2
81,0,0,True,1,2
82,0,0,True,1,2
83,0,0,True,1,2
84,0,0,True,1,2
85,0,0,True,1,1
86,0,0,True,1,1
87,0,0,True,1,1
88,0,0,True,1,1
89,0,0,True,1,2
90,0,0,True,1,2
91,0,0,True,1,2
92,0,0,True,1,2
93,0,0,True,1,1
94,0,0,True,1,1
95,0,0,True,1,1
96,0,0,True,1,1
97,0,0,True,0,0
98,0,0,True,0,0
99,0,0,True,5,5
100,0,0,True,0,0
101,0,0,True,0,0
102,0,0,True,0,0
103,0,0,True,0,0
104,0,0,True,0,4
105,0,0,True,5,4
106,0,0,True,0,4
107,0,0,True,0,4
