t,x,y,status,evt,evt-test
1,0,0,True,2,4
2,0,0,True,2,4
3,0,0,True,4,4
4,0,0,True,4,4
5,0,0,True,4,4
6,0,0,True,4,4
7,0,0,True,4,2
8,0,0,True,4,2
9,0,0,True,4,4
10,0,0,True,4,4
11,0,0,True,4,4
12,0,0,True,4,4
13,0,0,True,1,4
14,0,0,True,1,4
15,0,0,True,1,1
16,0,0,True,1,1
17,0,0,True,2,1
18,0,0,True,2,1
19,0,0,True,1,1
20,0,0,True,1,1
21,0,0,True,1,1
22,0,0,True,1,2
23,0,0,True,1,2
24,0,0,True,255,255
25,0,0,True,1,1
26,0,0,True,1,1
27,0,0,True,1,1
28,0,0,True,1,1
29,0,0,True,1,1
30,0,0,True,1,1
31,0,0,True,2,1
32,0,0,True,2,1
33,0,0,True,1,1
34,0,0,True,1,2
35,0,0,True,1,2
36,0,0,True,1,1
37,0,0,True,1,1
38,0,0,True,1,1
39,0,0,True,2,1
40,0,0,True,2,1
