t,x,y,status,evt,evt-test
0,0,0,True,1,1
1,0,0,True,1,1
2,0,0,True,1,1
3,0,0,True,1,1
4,0,0,True,1,1
5,0,0,True,1,1
6,0,0,True,1,1
7,0,0,True,1,2
8,0,0,True,2,2
9,0,0,True,2,2
10,0,0,True,2,2
11,0,0,True,2,2
12,0,0,True,3,1
13,0,0,True,3,1
14,0,0,True,255,255
15,0,0,True,1,1
16,0,0,True,1,1
17,0,0,True,1,1
18,0,0,True,1,1
19,0,0,True,1,2
20,0,0,True,1,2
21,0,0,True,1,1
22,0,0,True,1,1
23,0,0,True,1,1
24,0,0,True,1,1
25,0,0,True,1,2
26,0,0,True,4,2
27,0,0,True,4,4
28,0,0,True,4,4
29,0,0,True,4,4
30,0,0,True,4,4
31,0,0,True,2,4
32,0,0,True,2,4
33,0,0,True,4,4
34,0,0,True,4,4
35,0,0,True,4,2
36,0,0,True,4,2
37,0,0,True,4,4
38,0,0,True,4,4
