t,x,y,status,evt,evt-test
1,0,0,True,1,1
2,0,0,True,1,1
3,0,0,True,1,1
4,0,0,True,1,2
5,0,0,True,1,2
6,0,0,True,1,2
7,0,0,True,1,1
8,0,0,True,1,1
9,0,0,True,1,1
10,0,0,True,1,1
11,0,0,True,1,1
12,0,0,True,1,2
13,0,0,True,1,2
14,0,0,True,1,3
15,0,0,True,1,1
16,0,0,True,1,1
17,0,0,True,1,1
18,0,0,True,2,2
19,0,0,True,2,2
20,0,0,True,1,1
21,0,0,True,1,1
22,0,0,True,1,1
23,0,0,True,1,1
24,0,0,True,1,1
25,0,0,True,2,1
26,0,0,True,1,1
27,0,0,True,1,1
28,0,0,True,1,1
29,0,0,True,1,1
30,0,0,True,1,2
31,0,0,True,1,2
32,0,0,True,2,2
